data,hora,taxa
2023/04/12,20:31:39,13.631828388055567
2023/04/12,20:31:42,13.20620174411292
2023/04/12,20:31:45,13.562512943676376
2023/04/12,20:31:47,13.490302990214495
2023/04/12,20:31:50,13.509813455661671
2023/04/12,20:31:53,13.46576016471162
2023/04/12,20:31:56,13.320719836130019
2023/04/12,20:31:59,13.522875144551776
2023/04/12,20:32:02,13.370039051448988
2023/04/12,20:32:05,13.556137213820449
2023/04/12,20:32:10,13.879645171486372
2023/04/12,20:32:13,13.745825472924098
2023/04/12,20:32:15,13.882918224169089
2023/04/12,20:32:18,13.34699861743457
2023/04/12,20:32:20,13.793417922403567
2023/04/12,20:32:23,13.319755101000757
2023/04/12,20:32:25,13.264791593367907
2023/04/12,20:32:28,13.404631358206002
2023/04/12,20:32:31,13.384637310433986
2023/04/12,20:32:34,13.227037106244289
